tweet,sentiment
 Thats nice. My cousin just left my house. He has daughter`s their all daddy`s girls. So sweet,positive
 hey chocolate chips is good.  i want a snack too but i`m out of snacks.,positive
happy mother`s day! everyone have a great day and make sure you go see ya mommas,positive
 it could be worse  so u usually a nite owl?,negative
 I spell my name alyson too! Aly for short! We spell it the best,positive
"A sweltering afternoon no wonder the creepy, slithering snakes are heading to the creek. The nasty things can swim! Frightening detail!",negative
time to go to bed... and hopefully wake up to a better day  niiiiiiiights yall,positive
" Not sure, but I CAN tell you what happens to a pre-chilled watermelon that you leave in your car  *in TX* for a week!   NOT GOOD",negative
i cannot sleep due to watching UKTV food. its keeps my cravings at bay. i think my bodies guna ache tomro,negative
i hate history coursework sooo much,negative
 don`t know  and no not at all,negative
"_d I can`t view anything, Gerald. Not only am I banned, I can`t even read the **** place.",negative
 I totally did go! and he was AMAZING. He`s is the reason I bought the tix. He only did 3 songs. But Blood Bank was 1.,positive
"So has anyone had that yucky new throwback pepsi and mountain dew yet? If they plan on keeping it around, I will not be drinking it!",negative
 i love youuuuu nick santino! thirteen dayssss,positive
 It`s pretty perfect eh! Yes We Cannabis!  I saw some of those signs at the Global Marijuana March too.,positive
"ok, 1st ginormous cup of coffee down, monday looking much better to me.",positive
"  We don`t feel too comfortable using it. It`s not awful, but pretty icky.  Scurrying to find a deal...",negative
 I`ve been using the Sennheiser CX 300 earbuds for 8 months and I love them.  Don`t know if they`re available in MU though.,positive
Poor Johnny is sick   Looks like he`ll be going to the vet tomorrow,negative
Hate fighting,negative
 good morning,positive
 peter!! follow me!! oh and have fun in europe!,positive
" Happy Friday! Do u know how I can get a copy of the BT art u did on Mel`s fake Twitter? I`m n it, but can`t find it now.  THX",positive
 have a awesome day at school!!!,positive
 girl i am buying & posting your pressie tomorrow but i have no **** clue what to get you so i`m sorry if you hate it,negative
" hey perez! good luck! well, i`m still planning for a big present to be given for my mom! i love you mom!",positive
nice weather..looks like its going to rain here in # Delhi.,positive
" -  I wanna go see them in Edinburgh  won`t happen though haha , yir lucky! And have funnnn  ****",positive
Went shopping for sports tour yesterday with Garley... very very very funny!! Now I need some brunch  And a shower.,positive
Sad. I don`t know what to do with my life. Everything I have done since the age of 16 has been towards healthcare and nursing,negative
"I want to see my friends  Mindless fun. No work, all play. All drunk, all walwal. All being mean to each other and sleeping in one bed",positive
 ahh i love u! u got a twitterrr,positive
i have three hours to do my hair. and it STILL won`t be straight,negative
 Thanks for the support,positive
 Awww my lovies! Yes I love it all.  And I`m totally finishing my buffalo sammich after a few hits off the new bongie. <3,positive
"i`m going to sleepies, feel poorlies and pissed off  night night tweeples ****",negative
"is going to be in Cincinnati all day Sunday...visitin` with an old friend/brother from Korea, then a date with someone special",positive
 Yeah. About **** time. My film SLR just sits there quietly being ignored. It`s time to step up!,negative
  I appreciate you,positive
sorry for taking over twitter with my i-can`t-sleepness,negative
"  so sorry, I just found the members preview has been sold out for awhile. It opens at Noon to the general public",negative
 A little `Chair Lift` tonight would be muchly appreciated,positive
I don`t wanna work!,negative
I feel like... I`m not gonna make it this year,negative
  have a good day!,positive
  get back to tokyo man..we miss you.,negative
 awesome. lemme see when you`re done.,positive
off to work... off at 10:30....lammmeeee,negative
" ugh something is wrong, suddenly I feel extremely flushed and shaky and I broke out in a sweat. Idk what`s wrong.",negative
wtf?! my tweets aren`t posting   super excited about the weekend! <3jfg.,negative
so **** tired. didn`t get home till 5:30. work at bjs at 12:15,negative
_Megan_**** Same! Like the kisses on nights when she wasnt up for eviction! They were very badly edited,negative
 aww hope uve hada good day  xxxxx,positive
its probable bed time. hugs and kisses  <33,positive
"iï¿½m boring - bad weather today, watchingn alias and having fun  with my boyfriend",negative
" Thanks hun, it was great",positive
" Well, all I can do, is pray for you.....",positive
http://twitpic.com/4wh0l - im in love wit this fool from college hill,positive
Goodknight Twitterland! Happy Mother`s Day to all you blockhead mommas! Have a wonderful day!,positive
had a great time talkin with Mike tonight for three hrs.,positive
" Oh yea, my pain went down a little bit from laughing so hard which was good and nice for once.",positive
 Look at this ! http://twitpic.com/4wcqa  I can`t see them at all. What the heck..,negative
 Ahhh...can`t do this one....will be in las Vegas that weekend  #noctweetup,negative
  My Power was cut off  thats where i went,negative
"Plane tickets to UK and everywhere in Europe are BEYOND cheap (for June-Oct!!), but there`s NO gig in the near future announced yet",positive
 Go for it! Chinese sounds yum!,positive
 glad u liked post  looking at the back end now...the sub 2 your blog is automatic. send url and i`ll verify.,positive
its Monday and all is good,positive
"just got back from the BBQ, i got sunburn on my legs, well sore",negative
 I haven`t talked to you since the last day of school!  that`s no right.,negative
"i am boooooooored, theres nowhere to go",negative
#vwll2009 Would one of the VWLLers want to add this event to our Ning?   http://bit.ly/BF5sh  Would much appreciate that,positive
In denial about the moving van parked a few blocks away.,negative
 Thats awesome!!  Good idea!!,positive
This herniated disc sucks.  I`m stuck mostly on my back when I could be out riding.,negative
"walking the dog on horseforth park, no hangover on a Sunday morning, yay!!",positive
goodbye picnic for a classmate today  but the weather was **** beautifuul!!!,positive
 OK! Oops sorry,negative
"   well, I couldn`t get a real clear shot, but I`ve got the best I could...silly people walking through the admitting of the ER...",positive
#justcause Summer Hours say our day ends at 1pm...doesn`t mean I really get to leave at 1.,negative
 Oooh! goodluck for the rest of them,positive
"I though the clothes of AW0910 Collection from +9 designers will be there, together with the visual arts, but it is not",negative
Brooklyn!!! We went hard!!! Now back up top!! But 1st Hajji`s...yea again  http://tinyurl.com/codla7 http://ti.. http://tinyurl.com/cr8hjs,negative
_**** not as yet... i would just like to know if its okay for your mum before ask my mumm  hopefuly there gonna tell us soon!!!,positive
 nah I don`t finish til next yearrrr!!!   are u stayin in the bad news after graduation?,negative
ughhhh.... sad day.,negative
"home from STING..crunk (of course)..long **** day N nite..also, visited my boy Rob V..all is good..happy mother`s day!!..word to yo mutha",positive
_KittyKat That`s very nice of him.,positive
Youtube is made of fail right now. Or maybe it`s just me that it hates.,negative
 haha it will be interesting haha,positive
i have runny nose... i can`t breathe.. terrible feeling...,negative
 Happy Birthday  Hope you enjoyed us singing to you Wednesday <3,positive
"when i cheered,i yelled SHAKE THESE at the end of a chant and did the suck it 'X' and got suspended & had to give a public apology,lol",negative
"morning all   will be at Warner soon! lots to do, then go to school for some work... hope everyone has a great day!!!",positive
Ooh hayfever has struck..thought I was going to avoid it this year but nooo!  Remedies anyone...?,negative
 I still have a lot of time on my stupid contract...  18 months before I can change providers,negative
 AHHH! still not following!! Do you think she forgot??,negative
My puppy Gizmo h8s me..  haha. He still growls @ me.  I always look back @ my long pruple scar on my fingie,positive
_Songs I know  Especially since the summer is such a boring TV time to begin with.,negative
 ugh! **** it. Today doesn`t look like it`s going to work  i`m sorry,negative
"  great pic,have to upload my pix tomo,I`ve no laptop tonight.",positive
Kyneton for breakfast this morning at Slow Living. Noice. Such a beautiful sunny autumn day  Drove back to Melb via Daylesford,positive
 ur welcome  u finished ur speech (typed it and written notes),positive
 Many many thanks!!!  (it`s about school!) Weeeee!!!,positive
" I know, they`re ****. I am trying to sort out my portfolio and I don`t know what to put in it!",negative
"I need a restful weekend, but I will have to work instead",positive
 yup .. sad eh .. Betty man .. it should have been betty,negative
is having this massive headache! and all i want to do is eat some nachos..,negative
: thanks!  and you being #80 just made my morning!,positive
Loll whats boyfriend #2 supposed to mean then?  its to cold,negative
All new implementation of test discovery for unittest. This time in a loader. Good start I think.   http://twurl.nl/nz8f4y,positive
i won because im awesome,positive
" why would u get in trouble with me, i did not follow the logic sorry",negative
"Hi Charlie, thank you for following me! Nice to know there`s another Ollmann in the new world...",positive
Chilling out....now the boys have gone  Time To Relax,positive
ugh. trying to respond to all of the emails/voicemails/facebook messages that I missed while out of town. this could be a while,negative
Trying to get some work done not too happy about work situation,positive
 **** your in trouble now  why don`t you try with one of those companys that buys your house for you,negative
 aw.  I`m glad you do. Where would we be with out one?,positive
 come back to Perth     I missed the show here!,negative
 I apparently have crappy typing skills...lol sorry,negative
 goodnight baby loll jk night,positive
_west and by music I meant awesome Christian artists.,positive
" if you want conversation, use email/mailing lists. I`m not convinced `140 chars and less` replies are conversation",negative
 loadsa shizze has happend  IM SO UPSET..,negative
just came back from karaoke & eating dinner with emily. it was sooooo much fun,positive
Hey Tweeps...good morning. Wussup America...Talk to me tell wut`s on ur mind..,positive
 i`m playing good because i`m a big baby,positive
 wellll...... only 2 that will feed me   the others were mainly shade loving native wildflowers.,positive
" Oh, will do. I had to bring the soufflï¿½ home I`m SO full!  It`s delicious! One of my Philly favs.",positive
"is Chillin`, listening to Tunes",positive
 HAPPY MOTHERS DAY MARK,positive
I really want to go see UP!  haha. Tooo cute! (:,positive
 lol. sorry bout today  ..did u get them?? & what else R U guyz doinq cuz i have to C if im eligable [howeva itz spelled lol],negative
 i wanted to go for my birthday...,positive
" - no,  is buttfuck stupid. I`m just silly and forgetful",negative
 totally agree,positive
" it`s a good sized family room, so not too cramped, watched match in room  Watched tv on iplayer after kids asleep",positive
 aww... my mom will appreciate it   Much the same to your familias! When do you leave for tour?,positive
 i`m still thinking about that *FKC* meal I missed yesterday,negative
" wahahahaha!! i wanna naaaaa!!! well...hapit na i guess. hahahaha ) yes, now we all know!!! hahahaha lol ) NARN! haha joke",positive
" Feel your pain with the hayfever - forgot to take mine yesterday, again.",negative
" - yay for getting errands done! oh, an assortment of out-of-my-control things. topped off w/ a **** race, haha",negative
Ah! Just remembered some (hopefully good) news is coming (hopefully soon) from someone I know... once again may the *happydance* commence,positive
at school. Rusty just put Oh It Is Love on my ipod. awh,positive
hommmmmme! good day,positive
Worried for my cousin and her son,negative
Ratings Army Wives  teary; Criminal Minds Yikes! Criminal Intent takes all sorts. real life news  horrifying ok me for bed nite all,negative
I hate when it`s cloudy. I either want it to be all sunny or raining. It`s cloudy,negative
 Link didn`t work,negative
"weekend with my cuzzo Vivi, I can`t stand to have her leave me in 3 weeks",negative
 awww wish I was there! Have a brew for me B!,positive
I must be the only fool in twitterland that doesn`t get retweet!!  #sadsville,negative
 - It is supposed to be an unrelated (story-wise) new part of the Fallout series they`re working on... Only the name is out,negative
Flap-a-taco was nice until the plebs came in.,negative
why does twitter hate me i cant put no photos on my page,negative
RIP Robin from the Washington Park library,negative
 boooo!!! I bet it was a nice wallet too,positive
watching a movie and rocking my baby kitty who is asleep in my sling hanging from my neck. So cute,positive
" Yep, exactly   And I`m really sad about this tour...I know I`m gonna cry at my last M&G....",negative
 I miss you too!!,negative
" Interesting... I never get to Etown, however.",positive
"Back in lancaster bored already, can`t wait to start work! Missing hel!",negative
" See you October! Love the new book, when`s the next one out?",positive
" OH SILENCE VERONA!  I AM WANTING TO GO   jaja, enjoyyitverymuch and bring me phothos of Danny and dougie ?",positive
seriously. increasingly good nights. stoked on life! couldn`t be happier  #goodnight,positive
",.. oh the Mint Lounge ...AWESOME night",positive
i wish i could of been at commencement this yr  i wonder if they`re really going to protest.,positive
 what`s goin on hun?  I`m worried about you,negative
 dope background,positive
 so the beneath show got cancelled BUMMER! i guess i wont see you til cornerstone  who are you goign with?,negative
" Dude, I miss the 90`s.   btw, the name of my mix is 'Damn the man! Save the 90`s!' hahaha",negative
  May the 4th be with you too,positive
"_Gorham aww, what a shame  ........you can still #followfriday them though, no? >.>",negative
 Lucky you...my day has gone by with large amount of boredom...and a little stress. The detalis can get a bit gruesome,negative
 i`m sorry  today`s been nothing but a **** heartbreak,negative
i hate waking up early! but i need to make up my 27 hrs at my pharmacy class. >=[ sighhh.  in other news: breakfast time!!!!,negative
 haha  Thanks!,positive
 hey! Sorry I didn`t see ur message to me,negative
So tired and I have work at 5pm  #fb,negative
 Business or pleasure? Will keep my eye out for anything. You`re just missing a Moondog concert tomorrow night,negative
 you got it. poor thing not gonna have a choice for much longer though,positive
Going to the alley tonite..Happy Birthday prima,positive
Awaiting to watch lfctv @ 10am  liverpool vs newcastle game from yesterday!,positive
12:06am and my 'him' is officially the 1st one to say Happy Mother`s Day to me   I love it!!!,positive
 u think its fair...... k den i guess m wrng.... still i feel its not at all fair....,negative
"I have an awesome picture of happy pint, but it`s not sending",positive
     I LOVE YOU GUYS! get your **** to australia in december for my birthday,positive
 2002 - the TSX is nice just cuz it`s a new car- handles nice but doesn`t have the horses of the TL-S,positive
"It`s my wall, and I like saying I banned Zac Efron  lol sonny",positive
missing Tim!,negative
"missing my hobo/****/tramp way of life, and cooking for my mother on a saturday night  MAMA I LUV U",negative
Trying to figure out this thing...it`s not going well,negative
Good morning Sunshine   Tiime for $chooooL ! lol . BBL`,positive
"I`m at work, hoping to enjoy the day!!  Fingers are crossed!!",positive
 would love to hear all of this from a Nokia perspective...,positive
'Never give up on something you can`t go a day without thinking about.' I like that quote.,positive
 resistance was futile! Needed pretties to knit with,negative
busy exam week coming up! always look on the bright side of life  *whistle*,positive
Goodmorning,positive
 HAHA I LOVE THE WAY U PUT IT 'He lifts our feet off the ground spins us around and makes us crazier',positive
wishing i could go out of town this weekend,positive
So bored.... couldn`t go to a-kon...,negative
i wish i was in cali wit mari nd lupita seeing vfc  not fair,negative
